Title,Area,Price,Rooms,Floor,Square-meter,Area-text,Elevator,Air-condition,Refurbished,Furniture
בלוך 11,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,900 ₪",3,קרקע,75," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
בצלאל 31,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,500 ₪",2,2,58," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
הרב פרידמן ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,730 ₪,לא צוין,קרקע,18," הצפון החדש - צפון, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
הצפון החדש - צפון ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"23,000 ₪",4.5,קרקע,270,  תל אביב יפו ,TRUE,TRUE,TRUE,FALSE
שדרות נורדאו ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"8,000 ₪",3,1,70," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
זנגביל ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,000 ₪",3,1,75," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
פנקס ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,800 ₪,לא צוין,קרקע,18," הצפון החדש - צפון, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
גרץ 8,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"3,500 ₪",1,קרקע,21," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
הדסה ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"11,000 ₪",4,1,110," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
שלומציון המלכה ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"8,500 ₪",2,קרקע,67," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
אבן גבירול 90,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,000 ₪",3,4,66," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
שדרות שאול המלך 1,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"43,000 ₪",2,7,220," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
נהרדעא ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,400 ₪",3,2,70," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
שדרות דוד המלך 25,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,000 ₪",3.5,3,120," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
שדרות היוצר 9,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,800 ₪",2.5,3,62," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
דרך נמיר 11,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,000 ₪",4.5,1,96," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
הלפרין 5,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,700 ₪",3,1,80," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
יהודה המכבי 70,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,300 ₪",2,3,50," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
שלומציון המלכה ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,400 ₪",3,3,60," הצפון החדש - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
