Title,Area,Price,Rooms,Floor,Square-meter,Area-text,Elevator,Air-condition,Refurbished,Furniture,lon,lat
אלחריזי 7,north,"4,600 ₪",2,קרקע,40," הצפון הישן - צפון, תל אביב יפו ",False,True,True,False,35.2158578,31.7757552
דרך נמיר 11,north,"7,000 ₪",4.5,1,96," הצפון החדש - דרום, תל אביב יפו ",False,True,False,False,34.798587,32.136871
בצלאל 29,north,"7,500 ₪",3,קרקע,65," הצפון החדש - דרום, תל אביב יפו ",True,True,True,True,35.2107104,31.781811
הצפון החדש - צפון ,north,"13,500 ₪",3,2,100,  תל אביב יפו ,True,True,False,False,,
פקיעין 10,north,"29,000 ₪",5,3,180," הצפון הישן - צפון, תל אביב יפו ",True,True,False,False,34.777199,32.089536
ארלוזורוב 132,north,"4,900 ₪",3,3,85," הצפון החדש - דרום, תל אביב יפו ",False,True,True,False,34.785087,32.084405
יהודה המכבי 70,north,"5,300 ₪",2,3,50," הצפון החדש - צפון, תל אביב יפו ",False,True,False,True,34.793909,32.094204
לסר אורי ,north,"9,500 ₪",3,12,100," הצפון החדש - דרום, תל אביב יפו ",True,True,True,False,34.7852415,32.08068
אבן גבירול 178,north,"7,000 ₪",3.5,3,85," הצפון החדש - צפון, תל אביב יפו ",False,True,False,True,35.2151673,31.7755969
פנקס ,north,800 ₪,לא צוין,קרקע,18," הצפון החדש - צפון, תל אביב יפו ",False,False,False,False,34.8661272,31.933102
שלומציון המלכה 5,north,"5,500 ₪",2.5,1,50," הצפון החדש - צפון, תל אביב יפו ",False,True,True,False,35.2220833,31.7796077
שטריקר 34,north,"4,700 ₪",1.5,קרקע,35," הצפון החדש - צפון, תל אביב יפו ",False,True,True,True,34.788117,32.093
זלטופולסקי 17,north,"9,500 ₪",4,2,114," הצפון הישן - צפון, תל אביב יפו ",False,True,False,False,34.772459,32.088799
יהודה המכבי 30,north,"6,900 ₪",3,3,75," הצפון החדש - צפון, תל אביב יפו ",False,True,True,True,34.789156,32.093655
הצפון החדש - צפון ,north,"8,700 ₪",4,קרקע,95,  תל אביב יפו ,False,True,True,False,,
עין גדי ,north,"7,500 ₪",3,1,60," הצפון הישן - צפון, תל אביב יפו ",True,True,True,False,35.3848241,31.4523959
הלפרין 5,north,"6,700 ₪",3,1,80," הצפון הישן - צפון, תל אביב יפו ",False,True,False,True,34.772828,32.088081
מאנה 18,north,"10,550 ₪",3,2,70," הצפון החדש - דרום, תל אביב יפו ",True,True,True,False,34.781836,32.078237
פנקס 67,north,"9,000 ₪",4,5,100," הצפון החדש - צפון, תל אביב יפו ",True,True,True,False,34.793924,32.091453
ארלוזורוב 17,north,"11,000 ₪",3,2,80," הצפון הישן - צפון, תל אביב יפו ",True,True,True,True,34.7901807,32.0834214
הרב צירלסון 24,north,"7,500 ₪",2.5,4,65," הצפון החדש - צפון, תל אביב יפו ",True,True,True,True,34.793512,32.095048
בלוך 11,north,"7,900 ₪",3,קרקע,75," הצפון החדש - דרום, תל אביב יפו ",False,True,True,False,34.7857291,32.0845097
הבשן 7,north,"7,000 ₪",3,קרקע,60," הצפון הישן - צפון, תל אביב יפו ",False,True,True,False,34.782062,32.091066
